Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Oskar,Svärd,Kyrkgränd 335,Landskrona,30881,Sverige,SE,19510406-1516,+46,08-648 163 27,1951-04-06,True
Ove,Svensson,Ängsvägen 71,Borås,96209,Sverige,SE,19660922-3112,+46,08-064 090 08,1966-09-22,True
Katarina,Jönsson,Ängsstigen 6,Växjö,56606,Sverige,SE,19860101-4566,+46,+46 (0)8 165 318 70,1986-01-01,True
Ann-Christin,Lundgren,Skogsstigen 72,Sandviken,47662,Sverige,SE,19550202-0457,+46,+46 (0)429 814 80,1955-02-02,True
Veronica,Smith,Jeffrey Bypass 4919,Amyton,57533,Danmark,DK,19980120-6732,+45,(719)226-2767,1998-01-20,True
Fredrik,Madsen,Nguyentjernet 10,Emiliefoss,8009,Norge,NO,19770126-1326,+47,64 20 55 89,1977-01-26,True
Peter,Andersson,Kyrkgatan 866,Lund,51848,Sverige,SE,19851229-5843,+46,0811-02 74 07,1985-12-29,True
Gerald,Johnson,Deborah Brooks 263,Port Ashley,50102,Danmark,DK,19801025-2757,+45,578-761-5014x60299,1980-10-25,True
Camilla,Helland,Nygårdlunden 70D,Andresen,9770,Norge,NO,19460530-9980,+47,99918416,1946-05-30,True
Venla,Kemppainen,Niitynperänkatu 6,Lemi,68764,Finland,FI,19771103-168P,+358,+358526814833,1977-11-03,True
Åse,Sandvik,Aasenvollen 72,Torillvær,4976,Norge,NO,19580330-7721,+47,419 55 586,1958-03-30,True
Andrea,Kristiansen,Larsenhagen 8,Reiduneid,0491,Norge,NO,19671014-1292,+47,89 52 96 97,1967-10-14,True
Gudrun,Olsson,Skolgatan 17,Stockholm,34273,Sverige,SE,19700421-7287,+46,+46 (0)8 793 205 21,1970-04-21,True
Susan,Tucker,Finley Spurs 853,Jamesstad,63703,Danmark,DK,19810616-7276,+45,904.231.0507x422,1981-06-16,True
Joshua,Lucas,Courtney Trace 58020,Port David,64935,Danmark,DK,20000412-6089,+45,+1-942-644-2602x4112,2000-04-12,True
Fredrik,Berggren,Ängsvägen 470,Piteå,48750,Sverige,SE,19541110-6847,+46,08-77 13 37,1954-11-10,True
Trine,Jacobsen,Rasmussenhaugen 5,Ellingsen,4303,Norge,NO,19421229-2410,+47,46 20 66 78,1942-12-29,True
Thea,Johansen,Pettersenspranget 2,Hagen,0977,Norge,NO,19461211-4648,+47,33 87 81 28,1946-12-11,True
Marie,Svensson,Kvarnvägen 977,Linköping,30440,Sverige,SE,19440919-5807,+46,0977-91 27 98,1944-09-19,True
Eirik,Nielsen,Hanssenmarka 3,Pedersen,6024,Norge,NO,19510501-1270,+47,82475906,1951-05-01,True
Maria,Eriksson,Grantorget 36,Karlskoga,73043,Sverige,SE,19490914-7726,46,0246-387 60,1949-09-14,True
Wayne,Moore,Heather Inlet 0576,Markport,79723,Danmark,DK,19830219-8242,+45,+1-946-720-0092,1983-02-19,True
Anita,Karlsson,Idrottsgatan 8,Karlskrona,54050,Sverige,SE,19560906-9244,+46,+46 (0)085 856 20,1956-09-06,True
Christina,Bradford,Howell Junction 07688,Marshallville,98263,Danmark,DK,19450906-9249,+45,373-447-4455,1945-09-06,True
Pasi,Salo,Ahdekaunokinbulevardi 30,Hattula,02954,Finland,FI,19790405-566E,+358,+358 52 7861023,1979-04-05,True
Kjell,Aas,Aligjerdet 4,Sørensen,0251,Norge,NO,19520303-7125,+47,+47 01 96 57 79,1952-03-03,True
Lars,Bengtsson,Kyrkogränd 62,Lidköping,30305,Sverige,SE,19801104-2779,+46,08-61 29 19,1980-11-04,True
Desiree,Kramer,Williams Cove 6987,North Dustin,80872,Danmark,DK,19841005-8308,+45,001-296-981-2530x4324,1984-10-05,True
Elisabet,Eriksson,Kvarnvägen 20,Nyköping,88132,Sverige,SE,19560814-4943,+46,08-529 12 16,1956-08-14,True
Kristine,Fredriksen,Martinsengjerdet 96,Ingridborg,1755,Norge,NO,19820321-0915,+47,52367711,1982-03-21,True
Ingegerd,Karlsson,Storstigen 52,Lidingö,50470,Sverige,SE,19860628-5795,+46,+46 (0)03 37 53 47,1986-06-28,True
Henry,Eliasson,Parkvägen 8,Trelleborg,65437,Sverige,SE,19841214-1364,+46,+46 (0)359 215 03,1984-12-14,True
Lars,Fransson,Kyrkostigen 69,Skellefteå,62133,Sverige,SE,19701109-1670,+46,0312-953 97,1970-11-09,True
Stian,Berge,Larsenmoen 8C,Ellenås,4583,Norge,NO,19530110-7445,+47,88 96 25 59,1953-01-10,True
Gro,Andresen,Paulsenstranda 1,Aas,3067,Norge,NO,19891230-6949,+47,91616614,1989-12-30,True
Maria,Svensson,Bäckvägen 460,Mölndal,58841,Sperige,SE,19841107-5265,+46,+46 (0)729 050 95,1984-11-07,True
Jørgen,Kristoffersen,Evensenvika 3,Amundsen,4366,Norge,NO,19971225-1183,+47,49105437,1997-12-25,True
Jonas,Löfgren,Parkstigen 9,Skellefteå,27176,Sverige,SE,19840710-2759,+46,041-26 12 98,1984-07-10,True
Kalevi,Kaikkonen,Iltatähdenpolku 1,Kolari,04909,Finland,FI,19681217-624W,+358,0245695213,1968-12-17,True
Sven,Andersson,Björkgatan 69,Stockholm,86304,Sverige,SE,19450119-7453,+46,08-61 25 16,1945-01-19,True
Gert,Andersson,Trädgårdsvägen 497,Lidingö,42897,Sverige,SE,19440618-8865,+46,+46 (0)68 02 08 98,1944-06-18,True
Maria,Carlsson,Nyvägen 3,Kristianstad,73119,Sverige,SE,19430301-1650,+46,+46 (0)8 112 237 95,1943-03-01,True
Larry,Nichols,Marsh Lodge 926,Johnsonville,61995,Danmark,DK,19740304-2951,+45,001-741-357-2598x02430,1974-03-04,True
Carlos,Wagner,Thomas Lane 2113,Mendezport,46741,Danmark,DK,20000610-1198,+45,+1-385-208-2484x619,2000-06-10,True
Kari,Nielsen,Kristiansenmoen 040,Alfstrand,3622,Norge,NO,19710119-9231,+47,422 31 740,1971-01-19,True
Linda,Sandvik,Andreassenhøgda 5,Halvorsen,3619,Norge,NO,19820915-3846,+47,84 14 11 93,1982-09-15,True
Jonas,Nilsson,Genvägen 922,Alingsås,43986,Sverige,SE,19770821-4095,+46,08-504 956 30,1977-08-21,True
Mathias,Antonsen,Eriksenlyngen 3,Monicaøy,9381,Norge,NO,19490807-5995,+47,903 32 010,1949-08-07,True
Kåre,Iversen,Brekkehagen 001,Andreaeid,3077,Norge,NO,19510516-3918,+47,62627550,1951-05-16,True
Ingrid,Larsson,Furustigen 2,Västerås,99408,Sverige,SE,19990929-3721,+46,+46 (0)8 790 086 39,1999-09-29,True
Yolanda,Cannon,Joshua Heights 3400,Lake Angelicaland,02255,Danmark,DK,20000730-3781,+45,882.742.0059x470,2000-07-30,True
Monica,Lindholm,Skolgatan 074,Sundsvall,83625,Sverige,SE,19980914-9073,+46,08-632 819 50,1998-09-14,True
Synnøve,Solberg,Isaksenlyngen 24,Helgehavn,9133,Norge,NO,19521009-0207,+47,41 40 79 39,1952-10-09,True
Teresa,Huang,Williams Forest 460,South Christophermouth,06386,Danmark,DK,19701116-8647,+45,001-646-773-0620x91710,1970-11-16,True
Ruth,Johnsson,Villatorget 482,Sundsvall,70682,Sverige,SE,19400805-8683,+46,08-416 240 59,1940-08-05,True
Henrik,Dahl,Nielsenkollen 5,Karlsen,2557,Norge,NO,19501210-7519,+47,75 82 19 88,1950-12-10,True
Kerstin,Andersson,Stationstorget 0,Karlstad,46197,Sverige,SE,19640415-6199,+46,+46 (0)73 08 85 03,1964-04-15,True
Colleen,Hughes,Brewer Mount 7685,New Priscilla,21701,Danmark,DK,20000117-5008,+45,001-653-466-2972x47385,2000-01-17,True
Karoline,Simonsen,Ruudhavna 9B,Eide,6209,Norge,NO,19501014-9388,+47,+4708271506,1950-10-14,True
Inger,Lindblom,Åkerstigen 80,Lund,40576,Sverige,SE,19640306-8704,+46,0851-74 67 43,1964-03-06,True
Sven,Danielsson,Genstigen 0,Falun,94198,Sverige,SE,19640407-6028,+46,0056-81 90 34,1964-04-07,True
Dawn,Webster,Green Square 2155,Holmesbury,53790,Danmark,DK,19430903-6017,+45,(267)506-4275,1943-09-03,True
Lisbeth,Eriksson,Parkstigen 849,Ängelholm,27304,Sverige,SE,19820815-5433,+46,0469-26 93 98,1982-08-15,True
Arnold,Svensson,Kyrkovägen 85,Alingsås,92514,Sverige,SE,19540805-1574,+46,08-05 69 54,1954-08-05,True
Inger,Fransson,Nygränd 1,Kalmar,63993,Sverige,SE,19531118-1645,+46,+46 (0)854 392 15,1953-11-18,True
Roland,Jakobsson,Industrigatan 1,Lidingö,20172,Sverige,SE,19420902-8052,+46,+46 (0)917 788 04,1942-09-02,True
Michael,Clayton,Jones Plaza 613,Jordanburgh,00634,Danmark,DK,19810705-3648,+45,(504)632-3668x508,1981-07-05,True
Daniel,Kane,Timothy Streets 5991,Chasestad,66886,Danmark,DK,19660107-5599,+45,(900)914-8923x24704,1966-01-07,True
Rune,Pettersen,Moenberget 09E,Hanssen,2400,Norge,NO,19791222-8575,+47,92743725,1979-12-22,True
Johan,Olofsson,Fabriksgatan 6,Karlstad,14095,Sverige,SE,19990202-2381,+46,08-25 25 99,1999-02-02,True
Robert,Amundsen,Andresenlyngen 11,Gulbrandsen,4415,Norge,NO,19920913-8880,+47,95084321,1992-09-13,True
Fredrik,Olsson,Ekgränd 66,Ängelholm,80499,Sverige,SE,19610203-7491,+46,048-71 60 02,1961-02-03,True
Ingegerd,Andersson,Storvägen 12,Kalmar,28201,Sverige,SE,19770402-2306,+46,08-359 560 46,1977-04-02,True
Ola,Gulbrandsen,Andreassenhøgda 6,Torillstrøm,1492,Norge,NO,19800129-6955,+47,407 09 380,1980-01-29,True
Tore,Næss,Knudsenroa 68D,Bjørnhamn,2922,Norge,NO,19810831-0428,+47,913 35 495,1981-08-31,True
Melanie,Craig,Joel Walks 06450,Port Jeffrey,35089,Danmark,DK,19490209-2497,+46,879.231.8230x028,1949-02-09,True
Hans,Gustafsson,Storvägen 592,Ängelholm,75540,Sverige,SE,19750128-7967,+46,0659-71 53 83,1975-01-28,True
Michael,Rowe,Stephanie Plaza 49762,Joshuastad,22533,Danmark,DK,19600726-9724,+45,723-506-6583,1960-07-26,True
Sven,Svensson,Björkgatan 8,Umeå,47825,Sverige,SE,19501017-0967,+46,0263-867 83,1950-10-17,True
Eva,Eriksson,Skolgränd 720,Lund,79626,Sverige,SE,19741021-8813,+46,08-967 685 27,1974-10-21,True
Erik,Olsson,Skolvägen 57,Trelleborg,86150,Sverige,SE,19890724-4256,+46,019-190 43 34,1989-07-24,True
Josefine,Forsberg,Villagatan 7,Karlstad,82700,Sverige,SE,19581028-0220,+46,0418-180 60,1958-10-28,True
Nicholas,Beard,Bonnie Ports 2089,Ryanside,96075,Danmark,DK,19661109-2551,+45,532-293-4281,1966-11-09,True
Kim,Taylor,Beverly Key 68272,Christinetown,24422,Danmark,DK,19800816-0683,+45,715.272.6776,1980-08-16,True
Ulla,Nygren,Skolgatan 8,Malmö,54978,vverige,SE,19811024-0586,+46,08-826 523 44,1981-10-24,True
Leif,Persson,Ekvägen 3,Umeå,20902,Sverige,SE,19950628-8038,+46,0586-23 65 72,1995-06-28,True
Eirik,Edvardsen,Knutsenbakken 76,Lund,6864,Norge,NO,19740804-3470,+47,933 11 550,1974-08-04,True
Lars,Hansen,Pettersenmyra 9,Aune,8608,Norge,NO,19810320-0901,+47,981 23 654,1981-03-20,True
Dagmar,Fredriksson,Grangatan 948,Sandviken,98882,Sverige,SE,19560827-0959,+46,0612-24 43 27,1956-08-27,True
Rolf,Jensen,Johannessengata 6,Sebastianhavn,1146,Norge,NO,19831030-0918,+47,33449915,1983-10-30,True
Jenny,Friberg,Kyrkgatan 5,Sundsvall,20083,Sverige,SE,19470701-3398,+46,008-092 30 43,1947-07-01,True
Karin,Höglund,Parkgatan 3,Linköping,79575,Sverige,SE,19970530-5884,+46,+46 (0)46 43 92 82,1997-05-30,True
David,West,Miranda Trail 1350,Lake Victoria,13663,Danmark,DK,19720808-8345,+45,+1-582-760-9853,1972-08-08,True
Michael,Riley,Catherine Camp 07858,Gabrielleberg,14865,Danmark,DK,19850617-4757,+45,4988937430,1985-06-17,True
Anders,Karlsson,Skoltorget 86,Uddevalla,93745,Sverige,SE,19510607-3562,+46,+46 (0)8 897 344 92,1951-06-07,True
Anna,Nguyen,Solbergengen 580,Ødegård,8084,Norge,NO,19901225-3681,+47,45649586,1990-12-25,True
Christina,Eriksson,Industrigatan 555,Varberg,58285,Sverige,SE,19800321-8255,+46,08-080 065 78,1980-03-21,True
Karl,Eriksson,Ektorget 9,Varberg,48762,Sverige,SE,19771123-0519,+46,08-09 39 20,1977-11-23,True
Øystein,Eriksen,Abrahamsenvika 6,Jennyø,1967,Norge,NO,19530805-7426,+47,46993074,1953-08-05,True
Britta,Nilsson,Järnvägsgatan 0,Piteå,99682,Sverige,SE,19640623-5387,+46,0061-792 31,1964-06-23,True
Joakim,Lien,Gulbrandseneggen 58,Edvardsen,3131,Norge,NO,19720222-8653,+47,+4731880129,1972-02-22,True
Sarah,Franklin,Short Corner 660,Tamaraton,86269,Danmark,DK,19440330-9682,+45,895.362.0316,1944-03-30,True
Michelle,Long,Hill Shores 70590,Leeshire,54364,Danmark,DK,19970523-5575,+45,+1-655-409-5632x5578,1997-05-23,True
Silje,Myklebust,Mathisenringen 5,Torehamn,5091,Norge,NO,19510707-6510,+47,74503005,1951-07-07,True
Olof,Eklund,Idrottsstigen 89,Halmstad,83974,Sverige,SE,19520201-8807,+46,042-391 71 39,1952-02-01,True
Emily,Schneider,Laura Field 4971,West Matthewfurt,77203,Danmark,DK,19570712-9174,+45,702.969.7178x4999,1957-07-12,True
Henrik,Nilsson,Kyrkgränd 66,Kalmar,46415,Sverige,SE,19650831-5062,+46,+46 (0)8 857 809 17,1965-08-31,True
Eva,Svensson,Kyrkogränd 1,Kalmar,69528,Sverige,SE,19710715-1395,+46,+46 (0)8 586 671 12,1971-07-15,True
Susan,Little,Robert Corner 96316,New Stevenfort,74624,Danmark,DK,19820208-6828,+45,568.841.6018x9045,1982-02-08,True
Josefina,Andersson,Industrigatan 44,Karlstad,72341,Sverige,SE,19971009-9709,+46,0066-58 43 96,1997-10-09,True
Sakari,Järvelä,Ostoskuja 853,Laihia,24097,Finland,FI,19470922-287Y,+358,+358 94 2065327,1947-09-22,True
Robin,Jordan,Crystal Mountain 5275,Port Russellburgh,24972,Danmark,DK,19850817-2443,+45,5187565725,1985-08-17,True
Matti,Lepistö,Wallininkatu 964,Kempele,55456,Finland,FI,19740609-7343,+358,+358 832116170,1974-06-09,True
Emma,Melton,Lucas Ridge 19590,Sarahstad,47382,Danmark,DK,19491006-3295,+45,+1-427-526-5108x43703,1949-10-06,True
Anna-Karin,Stenberg,Trädgårdstorget 104,Lidköping,56349,Sverige,SE,19470206-7797,+46,+46 (0)342 734 94,1947-02-06,True
Claes,Persson,Åkervägen 5,Halmstad,89480,Sverige,SE,19920711-7893,+46,+46 (0)00 75 36 29,1992-07-11,True
Kristiina,Rantanen,Laakavuorentie 70,Kaskinen,17158,Finland,FI,19981003-6453,+358,+358 79 2056748,1998-10-03,True
Gunnar,Eriksen,Johnsenberget 4C,Karolinefjord,2962,Norge,NO,19930830-6508,+47,916 99 315,1993-08-30,True
Roger,Olofsson,Parkvägen 17,Örnsköldsvik,30725,Sverige,SE,19490715-6452,+46,08-76 34 48,1949-07-15,True
Anita,Mäkelä,Sapilastie 7,Hanko,29789,Finland,FI,19491005-559B,+358,+358 89 1437202,1949-10-05,True
Veronica,Andersson,Åkergatan 36,Malmö,21194,Sverige,SE,19590903-0842,+46,08-641 214 15,1959-09-03,True
Linnéa,Näslund,Granvägen 98,Östersund,73301,Sverige,SE,19420217-2228,+46,+46 (0)8 013 491 75,1942-02-17,True
Jonathan,Murray,Ricky Pine 88696,West Louis,20687,Danmark,DK,19400713-6462,+45,001-707-496-5301x601,1940-07-13,True
Eric,Blomberg,Kvarnvägen 2,Göteborg,33196,Sverige,SE,19870816-7380,+46,+46 (0)059 426 34,1987-08-16,True
Tore,Pettersson,Grantorget 99,Växjö,21070,Sverige,SE,19630413-6368,+46,+46 (0)165 239 92,1963-04-13,True
Carla,Cain,Conway Unions 2383,Abigailmouth,53706,Danmark,DK,19550406-1616,+45,(742)822-7546x615,1955-04-06,True
Reidun,Strøm,Nygårdtunet 62,Leifborg,1864,Norge,NO,19691124-9716,+47,73 43 97 40,1969-11-24,True
Lennart,Lindgren,Backstigen 34,Skellefteå,50962,Sverige,SE,19921028-7021,+46,073-594 12 40,1992-10-28,True
Anna,Eklund,Bäckgatan 370,Gävle,10843,Sverige,SE,19701218-9853,+46,08-340 508 18,1970-12-18,True
Einar,Olsson,Storstigen 4,Skövde,86564,Sverige,SE,19810422-2975,+46,0935-83 62 37,1981-04-22,True
Vilhelmina,Jonasson,Strandtorget 72,Uddevalla,99858,Sverige,SE,19490329-3546,+46,088-59 66 02,1949-03-29,True
Julia,Timonen,Disankatu 8,Mikkeli,22129,Finland,FI,19790210-4137,+358,+358828123447,1979-02-10,True
Chad,Griffin,Andres Orchard 909,Rebeccaberg,28251,Danmark,DK,19931118-7301,+45,(866)453-8089,1993-11-18,True
Viktoria,Pettersson,Järnvägsvägen 17,Stockholm,21550,Sverige,SE,19560526-0774,+46,+46 (0)8 677 060 53,1956-05-26,True
Juha,Korpi,Lepolankatu 503,Kaustinen,70195,Finland,FI,19430525-252E,+358,+358 42 0688117,1943-05-25,True
Susanne,Andersson,Gentorget 89,Sandviken,24208,Sverige,SE,19700904-9433,+46,051-96 96 82,1970-09-04,True
Emily,Hall,Heidi Manors 33499,Port Joshua,37330,Danmark,DK,19910506-1259,+45,4094706321,1991-05-06,True
Jan,Larsson,Kyrkotorget 17,Eskilstuna,49811,Sverige,SE,19860104-9818,+46,0273-798 60,1986-01-04,True
Jacob,Nilsson,Järnvägsvägen 4,Mölndal,39462,Sverige,SE,19670130-3713,+46,+46 (0)001 385 30,1967-01-30,True
Pekka,Kurki,Agnetanbulevardi 3,Liminka,56169,Finland,FI,19870119-454Y,+358,+358 596710772,1987-01-19,True
Karl,Åberg,Strandvägen 4,Borås,86979,Sverige,SE,19730930-5871,+46,0761-731 74,1973-09-30,False
Reinhold,Lindahl,Åkergatan 610,Nyköping,89546,Danmark,SE,20000309-4127,+46,0431-102 64,2000-03-09,True
Klas,Lindgren,Skogsgatan 75,Karlstad,84643,Sverige,SE,19740902-4200,+46,08-55 94 98,1974-09-02,True
Olle,Jansson,Skolgatan 986,Växjö,73464,Sverige,SE,19520927-1454,+46,08-804 29 43,1952-09-27,True
André,Holmberg,Kvarngatan 61,Halmstad,79773,Sverige,SE,19691116-9425,+46,0795-22 89 64,1969-11-16,True
Karin,Mathisen,Rasmussenåsen 825,Ruud,8524,Norge,NO,19460323-2739,+47,+47 59 58 97 48,1946-03-23,True
Peter,Carlsson,Grangatan 203,Helsingborg,98860,Sverige,SE,19980804-7675,+46,08-818 47 96,1998-08-04,True
Kenneth,Bengtsson,Ängsgatan 174,Karlstad,90133,Sverige,SE,19671025-1659,+46,+46 (0)8 916 193 68,1967-10-25,True
Kim,Isaksen,Andersentunet 16A,Gunnarsand,8079,Norge,NO,19621210-0084,+47,48304945,1962-12-10,True
Britt,Svensson,Åkertorget 0,Alingsås,39562,Sverige,SE,19850516-7379,+46,08-706 206 49,1985-05-16,True
Espen,Amundsen,Simonsenekra 7,Sandvik,1073,Norge,NO,19840705-7372,+47,99 10 20 39,1984-07-05,True
Kirsten,Rasmussen,Nguyengropa 72,Ruud,1881,Norge,NO,19420911-6437,+47,+4717072832,1942-09-11,True
Marie,Sundin,Kyrkovägen 55,Varberg,95912,Sverige,SE,19700601-4897,+46,+46 (0)03 55 05 36,1970-06-01,True
Dag,Kristensen,Iversenstien 3B,Myhre,2486,Norge,NO,19460604-3530,+47,97900436,1946-06-04,True
